date,hour,location,pm2_5,temperature,humidity
2024-12-31,19,New Delhi-8118,371.0,23.2,65.7
2024-12-31,20,New Delhi-8118,343.0,21.5,58.9
2024-12-31,21,New Delhi-8118,286.0,17.5,52.8
2024-12-31,22,New Delhi-8118,204.0,14.4,53.9
2024-12-31,23,New Delhi-8118,187.0,15.3,68.6
2025-01-01,0,New Delhi-8118,189.0,16.5,66.6
2025-01-01,1,New Delhi-8118,185.0,15.2,60.3
2025-01-01,2,New Delhi-8118,165.0,16.2,59.3
2025-01-01,3,New Delhi-8118,154.0,19.3,67.2
2025-01-01,4,New Delhi-8118,170.0,18.1,63.3
2025-01-01,5,New Delhi-8118,193.0,23.8,68.0
2025-01-01,6,New Delhi-8118,188.0,27.2,48.4
2025-01-01,7,New Delhi-8118,176.0,25.1,66.8
2025-01-01,8,New Delhi-8118,202.0,27.0,57.4
2025-01-01,9,New Delhi-8118,196.0,33.4,57.6
2025-01-01,10,New Delhi-8118,202.0,33.6,58.1
2025-01-01,11,New Delhi-8118,204.0,34.7,57.5
2025-01-01,12,New Delhi-8118,203.0,37.6,46.3
2025-01-01,13,New Delhi-8118,206.0,32.5,45.3
2025-01-01,14,New Delhi-8118,196.0,36.1,59.8
2025-01-01,15,New Delhi-8118,211.0,35.0,44.0
2025-01-01,16,New Delhi-8118,213.0,32.8,56.5
2025-01-01,17,New Delhi-8118,205.0,28.3,65.1
2025-01-01,18,New Delhi-8118,200.0,27.4,54.7
2025-01-01,19,New Delhi-8118,163.0,21.8,50.4
2025-01-01,20,New Delhi-8118,158.0,20.3,55.5
2025-01-01,21,New Delhi-8118,173.0,19.8,59.2
2025-01-01,22,New Delhi-8118,173.0,18.4,57.2
2025-01-01,23,New Delhi-8118,176.0,14.0,58.5
2025-01-02,0,New Delhi-8118,174.0,16.5,61.2
2025-01-02,1,New Delhi-8118,153.0,12.6,56.5
2025-01-02,2,New Delhi-8118,140.0,13.7,56.0
2025-01-02,3,New Delhi-8118,167.0,18.4,68.1
2025-01-02,4,New Delhi-8118,204.0,22.5,48.9
2025-01-02,5,New Delhi-8118,204.0,24.9,58.6
2025-01-02,6,New Delhi-8118,209.0,25.9,47.7
2025-01-02,7,New Delhi-8118,179.0,25.8,54.3
2025-01-02,8,New Delhi-8118,190.0,31.5,50.3
2025-01-02,9,New Delhi-8118,213.0,34.8,49.1
2025-01-02,10,New Delhi-8118,217.0,34.1,45.9
2025-01-02,11,New Delhi-8118,191.0,33.0,59.8
2025-01-02,12,New Delhi-8118,198.0,33.7,55.1
2025-01-02,13,New Delhi-8118,217.0,36.4,52.4
2025-01-02,14,New Delhi-8118,262.0,31.3,57.4
2025-01-02,15,New Delhi-8118,308.0,34.5,55.1
2025-01-02,16,New Delhi-8118,291.0,27.6,62.8
2025-01-02,17,New Delhi-8118,210.0,26.0,57.2
2025-01-02,18,New Delhi-8118,208.0,24.9,66.4
2025-01-02,19,US Diplomatic Post: New Delhi-8118,210.0,23.3,54.6
2025-01-02,20,US Diplomatic Post: New Delhi-8118,213.0,17.7,64.4
2025-01-02,21,US Diplomatic Post: New Delhi-8118,211.0,17.7,52.4
2025-01-02,22,US Diplomatic Post: New Delhi-8118,200.0,14.6,72.5
2025-01-02,23,US Diplomatic Post: New Delhi-8118,220.0,13.2,61.0
2025-01-03,0,US Diplomatic Post: New Delhi-8118,0.0,12.2,68.7
2025-01-03,1,US Diplomatic Post: New Delhi-8118,0.0,13.2,68.0
2025-01-03,2,US Diplomatic Post: New Delhi-8118,203.0,18.5,66.5
